Disease,Treatment,Diagnosis,Symptoms,Laymen Terms
Crush Injury,"Fluids (NS 1 L/hr), fasciotomy, pain relief","Clinical exam, CK levels, imaging (fracture)","Pain, swelling, compartment syndrome, rhabdo","Fluids (NS 1 L/hr), fasciotomy, pain relief This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Itching,"Antihistamines (cetirizine 10 mg), treat cause","Clinical exam, labs (liver, kidney), biopsy","Pruritus, scratching, skin irritation, variable cause","Antihistamines (cetirizine 10 milligrams), treat cause This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Hypokalemic Periodic Paralysis,"Potassium (40 mEq oral), acetazolamide (250 mg)","Serum K+ (<3.5 mEq/L), genetic (CACNA1S), EMG","Muscle weakness, paralysis, low potassium","Potassium (40 mEq oral), acetazolamide (250 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
HGA (Ehrlichiosis),"Doxycycline (100 mg twice daily), supportive","PCR (Ehrlichia), serology, CBC (leukopenia)","Fever, headache, myalgia, tick exposure","Doxycycline (100 milligrams twice daily), supportive This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Aphasia,"Speech therapy, treat cause (e.g., stroke rehab)","Clinical (speech exam), MRI (lesion), NIHSS","Language difficulty, wordfinding issues, stroke","Speech therapy, treat cause (e.g., stroke rehab) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Subchorionic Hemorrhage,"Rest, monitor (resolves), progesterone (if needed)","Ultrasound (hematoma), clinical history, labs","Vaginal bleeding, cramping, pregnancy","Rest, monitor (resolves), progesterone (if needed) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Chronic Pelvic Pain,"Treat cause (e.g., gabapentin 300 mg), pain management","Pelvic exam, ultrasound, laparoscopy (e.g., endo)","Persistent pelvic ache, dyspareunia, variable cause","Treat cause (e.g., gabapentin 300 milligrams), pain management This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
SCD (Sickle Cell Disease),"Hydroxyurea (20 mg/kg daily), transfusions","Hemoglobin electrophoresis (HbSS), CBC, reticulocytes","Pain crises, anemia, infections, jaundice","Hydroxyurea (20 milligrams/kg daily), transfusions This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Subconjunctival Hemorrhage,"Observation (resolves), artificial tears","Clinical exam (bright red), rule out trauma","Red eye patch, painless, spontaneous","Observation (resolves), artificial tears This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mitral Incompetence,"Diuretics (furosemide 40 mg), valve repair","Echo (regurgitant jet), ECG (LA enlargement)","Dyspnea, fatigue, murmur, heart failure","Diuretics (furosemide 40 milligrams), valve repair This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Mossy Foot Disease,"Foot hygiene, compression, elevation","Clinical (nonfilarial), history (soil exposure), biopsy","Foot swelling, nodules, lymphoedema (podoconiosis)","Foot hygiene, compression, elevation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Sleep Disorders,"Treat specific (e.g., CPAP for OSA), CBTI","Polysomnography, sleep diary, clinical history","Insomnia, hypersomnia, apnea, restlessness","Treat specific (e.g., CPAP for OSA), CBTI This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dyshidrotic Eczema,"Topical steroids (betamethasone 0.05%), wet wraps","Clinical exam (pompholyx), rule out fungal, biopsy","Itchy vesicles, hands/feet, redness, peeling","Topical steroids (betamethasone 0.05%), wet wraps This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Ancylostoma,"Mebendazole (100 mg twice daily), iron","Stool ova (A. duodenale), CBC (eosinophilia)","Anemia, fatigue, rash, abdominal pain (hookworm)","Mebendazole (100 milligrams twice daily), iron This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
CABG (Coronary Artery Bypass Graft),"Pain relief (morphine 2 mg IV), aspirin (81 mg)","Postop ECG, echo, clinical exam","Postop chest pain, fatigue, incision issues","Pain relief (morphine 2 milligrams intravenous), aspirin (81 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Arthralgia,"NSAIDs (ibuprofen 400 mg), treat underlying","Clinical exam, labs (ESR, RF), imaging (if needed)","Joint pain, stiffness, no swelling, variable cause","NSAIDs (ibuprofen 400 milligrams), treat underlying This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Dermatofibrosarcoma Protuberans,"Wide excision, imatinib (400 mg daily), radiation","Biopsy (spindle cells), CD34+, MRI (extent)","Slowgrowing skin mass, plaque, local invasion","Wide excision, imatinib (400 milligrams daily), radiation This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Toxic Epidermal Necrolysis,"Stop trigger, IVIG (1 g/kg), supportive (ICU)","Clinical (Nikolsky sign), biopsy, drug history","Widespread skin peeling, fever, mucosal involvement","Stop trigger, intravenousIG (1 g/kg), supportive (ICU) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
CHIKV Disease,"Supportive care, NSAIDs (naproxen 500 mg), rest","RTPCR (Chikungunya), IgM serology, clinical","Fever, joint pain, rash, mosquito exposure","Supportive care, NSAIDs (naproxen 500 milligrams), rest This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Polyidrosis,"Antiperspirants (20% aluminum chloride), Botox","Clinical exam, starchiodine test, history","Excessive sweating, variable sites, distress","Antiperspirants (20% aluminum chloride), Botox This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Fredrickson Type V Hyperlipoproteinemia,"Fibrates (fenofibrate 145 mg daily), diet (low fat)","Lipid panel (TG >1000 mg/dL), electrophoresis","Pancreatitis, xanthomas, high triglycerides","Fibrates (fenofibrate 145 milligrams daily), diet (low fat) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Rheumatoid Arthritis (RA),"Methotrexate (15 mg weekly), adalimumab (40 mg SC)","RF/antiCCP positive, Xray (erosions), ESR","Joint pain, swelling, morning stiffness, fatigue","Methotrexate (15 milligrams weekly), adalimumab (40 milligrams SC) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Progressive Systemic Sclerosis,"Mycophenolate (2 g daily), nifedipine (30 mg)","ANA (antiScl70), skin biopsy, PFTs","Skin tightening, Raynaud’s, organ fibrosis","Mycophenolate (2 g daily), nifedipine (30 milligrams) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Nonruptured Cerebral Aneurysm,"Monitor (<7 mm), coiling/clipping (if >7 mm)","CTA/MRA (aneurysm), MRI, clinical history","Often asymptomatic, headache, cranial nerve issues","Monitor (<7 mm), coiling/clipping (if >7 mm) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Rabbit Fever,"Streptomycin (1 g IM twice daily), doxycycline","Serology (F. tularensis), culture, PCR","Fever, ulcer, lymphadenopathy, animal exposure","Streptomycin (1 g IM twice daily), doxycycline This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Yeast Infection (Vaginal),"Fluconazole (150 mg single dose), clotrimazole cream","Wet mount (Candida), pH (<4.5), culture","Itching, thick discharge, burning, redness","Fluconazole (150 milligrams single dose), clotrimazole cream This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Iron Deficiency Anemia,"Iron (ferrous sulfate 325 mg daily), treat cause (e.g., bleeding)","CBC (low Hgb), ferritin (<15 ng/mL), iron studies","Fatigue, pallor, shortness of breath, brittle nails","Iron (ferrous sulfate 325 milligrams daily), treat cause (e.g., bleeding) This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Diverticulosis (Diverticulitis),"Antibiotics (ciprofloxacin 500 mg + metronidazole), fiber diet","CT (diverticula/inflammation), colonoscopy (chronic)","Abdominal pain, fever, nausea, change in bowel habits","Antibiotics (ciprofloxacin 500 milligrams + metronidazole), fiber diet This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
Balamuthia mandrillaris,"Miltefosine (150 mg daily), fluconazole, supportive","Brain biopsy (ameba), PCR, CSF analysis","Headache, fever, skin lesions, encephalitis","Miltefosine (150 milligrams daily), fluconazole, supportive This treatment is prescribed based on the severity of the condition and should be followed as directed by a healthcare professional."
